Local Authority,Housing Category,Rental Object.,Acquisition Date,Postcode - 1st part,Postcode - 2nd part,Property Type,No. of Bedrooms,RE Contract,Contract Type,Contract Start Date,Prev Cont End Date,Previous Reason for Termination,Company (AO),Tenancy Allocation Source,Max Major Works Date,Max Remodelling Date,Max ReInvestment Date,Max HeldForDecant Date,Max NewProperty Date
SWINDON,Supported Housing,1010/106576/10000003,,SN1,2EG,Room,#,1010/1600005818,Ex Lic. - Eng,12/02/2021,07/02/2021,Smaller Prop,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
WILTSHIRE,Supported Housing,1010/106579/10000002,,SP1,1DX,Flat,1,1010/1600005811,Ex Lic. - Eng,11/02/2021,07/01/2021,Evtn: ASB Rsn,Sanctuary Housing Assoc.,Local Authority Nomination,25/01/2021,,,,
WILTSHIRE,Supported Housing,1010/106579/10000012,,SP1,1DX,Flat,1,1010/1600005850,Ex Lic. - Eng,25/02/2021,20/01/2021,Med/Supp Need,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
WILTSHIRE,Supported Housing,1010/106579/10000013,,SP1,1DX,Flat,1,1010/1600005832,Ex Lic. - Eng,19/02/2021,07/01/2021,Closer Family,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
WILTSHIRE,Supported Housing,1010/106579/10000015,,SP1,1DX,Flat,1,1010/1600005842,Ex Lic. - Eng,22/02/2021,28/01/2021,Keys ret,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
WILTSHIRE,Supported Housing,1010/106579/10000016,,SP1,1DX,Flat,1,1010/1600005833,Ex Lic. - Eng,23/02/2021,12/01/2021,Inde living,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
WILTSHIRE,Supported Housing,1010/106579/10000018,,SP1,1DX,Flat,1,1010/1600005794,Ex Lic. - Eng,08/02/2021,24/11/2020,Evtn: Other,Sanctuary Housing Assoc.,Local Authority Nomination,14/01/2021,,,,
"HEREFORDSHIRE, COUNT",Supported Housing,1010/104763/10000008,,HR4,9HP,Flat,1,1010/1200008745,AST - Social,15/02/2021,21/10/2020,Tenant Died,Sanctuary Housing Assoc.,Local Authority Nomination,15/12/2020,,,,
MALVERN HILLS,Supported Housing,1010/102243/10000005,,WR14,1HW,Room,#,1010/1200008752,AST - Social,18/02/2021,28/05/2019,Perm Accom,Sanctuary Housing Assoc.,Social Services,,,,14/02/2021,
MENDIP,Supported Housing,1010/100413/10000001,,BA6,9EB,Room,#,1010/1600005805,Ex Lic. - Eng,11/02/2021,12/01/2021,Non Soc-L/L Int,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
NORTH SOMERSET,Supported Housing,1010/105702/10000004,,BS23,3XX,Flat,1,1010/1500001778,Prtctd Lic.-Eng,09/02/2021,06/01/2021,Man. Trans  Grp,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
SOMERSET WEST & TAUN,Supported Housing,1010/104363/10000015,,TA1,1SU,Flat,1,1010/1200008744,AST - Social,15/02/2021,17/01/2021,Perm Accom,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
LAMBETH,Supported Housing,1010/102247/10000000,,SW16,2HJ,Flat,1,1010/1200008757,AST - Social,23/02/2021,13/12/2020,Inde living,Sanctuary Housing Assoc.,Other Social Landlord,,,,,
LAMBETH,Supported Housing,1010/105862/10000005,,SW8,1TF,Studio apartment,#,1010/1200008737,AST - Social,08/02/2021,22/11/2020,Perm Accom,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
LEWISHAM,Supported Housing,1010/100660/10000000,,SE12,8NP,Room,#,1010/1600005771,Ex Lic. - Eng,01/02/2021,11/10/2020,Perm Accom,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
MERTON,Housing for Older People,1010/101760/10000048,,SW19,2NE,Flat,1,1010/1100075187,Assured,05/02/2021,28/06/2020,Nrsng/Res. Care,Sanctuary Housing Assoc.,Direct Application,,,,,
WANDSWORTH,Supported Housing,1010/104544/10000002,,SW18,4DU,Studio apartment,#,1010/1500001761,Prtctd Lic.-Eng,01/02/2021,20/01/2021,Inde living,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
WANDSWORTH,Supported Housing,1010/104544/10000018,,SW18,4DU,Studio apartment,#,1010/1500001784,Prtctd Lic.-Eng,25/02/2021,17/01/2021,Inde living,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
TORBAY,General Needs Residential,1010/104897/10000063,,TQ2,6DS,House,2,1010/1100075063,Assured,01/02/2021,13/12/2020,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,17/01/2021,,,,
TORBAY,Affordable General Needs,1010/104651/10000061,,TQ2,8AH,Flat,2,1010/1100075126,Assured,04/02/2021,17/01/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
TORBAY,Affordable General Needs,1010/104651/10000180,,TQ2,8AH,Flat,2,1010/1100075374,Assured,23/02/2021,04/01/2021,Surr. by Op Law,Sanctuary Housing Assoc.,Choice Based Letting,22/02/2021,,,,
TORBAY,General Needs Residential,1010/101211/10000031,,TQ2,7QB,Flat,2,1010/1100075262,Assured,11/02/2021,24/01/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
NORTH DEVON,Housing for Older People,1010/103321/10000038,,EX32,9JX,Flat,1,1010/1100075268,Assured,11/02/2021,12/01/2021,Man. Trans  Grp,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
TORRIDGE,Affordable General Needs,1010/104596/10000034,,EX39,4DZ,House,2,1010/1100075138,Assured,03/02/2021,10/01/2021,Surr. by Op Law,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
PLYMOUTH,Affordable General Needs,1010/103593/10000008,,PL4,9NX,Studio apartment,#,1010/1100075339,Assured,17/02/2021,03/02/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
PLYMOUTH,General Needs Residential,1010/100546/10000013,,PL3,6DE,Flat,1,1010/1100075263,Assured,11/02/2021,31/01/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CORNWALL,Affordable General Needs,1010/101413/10000021,,PL25,5NZ,House,2,1010/1100075417,Assured,25/02/2021,11/02/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CORNWALL,Affordable General Needs,1020/105969/10000044,,PL31,2FP,Flat,1,1020/1100003298,Assured,25/02/2021,07/02/2021,Refused,Sanc. Afford. Housing Ltd,Choice Based Letting,,,,,
CORNWALL,Housing for Older People,1010/104746/10000022,,PL15,8DN,Flat,1,1010/1100075028,Assured,01/02/2021,11/01/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CORNWALL,General Needs Residential,1010/100823/10000013,,PL15,9FL,Flat,2,1010/1100075032,Assured,01/02/2021,05/01/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CORNWALL,General Needs Residential,1010/100823/10000025,,PL15,9FL,Flat,2,1010/1100075376,Assured,24/02/2021,01/02/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
TORBAY,Affordable General Needs,1020/103837/10000060,,TQ3,3FW,House,5,1020/1100003279,Assured,10/02/2021,27/01/2021,Evtn: Abandoned,Sanc. Afford. Housing Ltd,Choice Based Letting,,,,,
TORBAY,General Needs Residential,1010/101206/10000240,,TQ3,3PN,House,3,1010/1100075056,Assured,01/02/2021,10/01/2021,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
TORBAY,General Needs Residential,1010/101206/10000431,,TQ3,3UP,Flat,3,1010/1100075375,Assured,23/02/2021,31/01/2021,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,22/02/2021,,,,
TORBAY,General Needs Residential,1010/102974/10000016,,TQ3,3SS,House,3,1010/1100075211,Assured,10/02/2021,27/01/2021,Rel Breakdown,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
WILTSHIRE,General Needs Residential,1010/100354/10000009,,BA12,9EJ,Flat,1,1010/1100075112,Assured,09/02/2021,08/02/2021,End Fixed Ten,Sanctuary Housing Assoc.,Other,,,,,
WILTSHIRE,General Needs Residential,1010/104626/10000015,,BA14,7SU,Flat,1,1010/1100075189,Assured,10/02/2021,31/01/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CORNWALL,Affordable General Needs,1010/102518/10000021,,TR15,2SE,Flat,1,1010/1100075336,Assured,19/02/2021,29/12/2020,Rel Breakdown,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CORNWALL,Affordable General Needs,1010/102879/10000011,,TR11,4ES,Flat,2,1010/1100075326,Assured,18/02/2021,22/11/2020,Refused,Sanctuary Housing Assoc.,Rightmove,,,,,
CORNWALL,Affordable General Needs,1020/106210/10000019,,TR14,0ED,Flat,1,1020/1100003270,Assured,02/02/2021,04/01/2021,Refused,Sanc. Afford. Housing Ltd,Choice Based Letting,,,,,
CORNWALL,General Needs Residential,1010/100663/10000025,,TR11,2AF,Flat,1,1010/1100075134,Assured,05/02/2021,17/01/2021,Move Fam/Friend,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CORNWALL,General Needs Residential,1010/104696/10000019,,TR11,2TS,House,2,1010/1100075086,Assured,02/02/2021,06/12/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,31/01/2021,,,,
CORNWALL,Aged Defined General Needs,1010/102879/10000001,,TR11,4ES,Flat,2,1010/1100075092,Assured,02/02/2021,03/01/2021,Nrsng/Res. Care,Sanctuary Housing Assoc.,Rightmove,,,,,
DORSET,Housing for Older People,1010/101767/10000013,,BH19,2LY,Flat,1,1010/1100075453,Assured,26/02/2021,14/02/2021,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
TORBAY,Affordable General Needs,1020/102338/10000007,,TQ3,2UE,House,3,1020/1100003281,Assured,17/02/2021,12/01/2021,Larger Prop,Sanc. Afford. Housing Ltd,Choice Based Letting,,,,,
TORBAY,General Needs Residential,1010/102880/10000017,,TQ3,3AZ,Flat,1,1010/1100075424,Assured,25/02/2021,03/01/2021,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,24/02/2021,,,,
TORBAY,General Needs Residential,1010/103713/10000005,,TQ4,5ND,Studio apartment,#,1010/1100075137,Assured,04/02/2021,21/12/2020,Nrsng/Res. Care,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
TORBAY,General Needs Residential,1010/103713/10000028,,TQ4,5ND,Studio apartment,#,1010/1100075204,Assured,11/02/2021,30/12/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
PLYMOUTH,Affordable General Needs,1010/104365/10000009,,PL1,3JE,Flat,1,1010/1100075152,Assured,09/02/2021,09/10/2020,Surr. by Op Law,Sanctuary Housing Assoc.,Choice Based Letting,01/02/2021,,,,
PLYMOUTH,General Needs Residential,1010/102610/10000039,,PL5,1BU,Maisonette,2,1010/1100075154,Assured,05/02/2021,04/02/2021,End of Decant,Sanctuary Housing Assoc.,Other,,,,,
RUSHMOOR,Housing for Older People,1010/102037/10000022,,GU14,6UT,Flat,1,1010/1100075307,Assured,17/02/2021,22/11/2020,Nrsng/Res. Care,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
RUSHMOOR,Housing for Older People,1010/104033/10000050,,GU11,3DL,Studio apartment,#,1010/1100075363,Assured,19/02/2021,06/01/2021,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
RUSHMOOR,Housing for Older People,1010/104033/10000071,,GU11,3DL,Studio apartment,#,1010/1100075111,Assured,05/02/2021,14/01/2021,Move Fam/Friend,Sanctuary Housing Assoc.,Rightmove,,,,,
TORBAY,General Needs Residential,1010/106931/10000000,24/11/2020,TQ4,7RP,House,5,1010/1100075416,Assured,24/02/2021,,#,Sanctuary Housing Assoc.,Choice Based Letting,,,,,21/02/2021
SEDGEMOOR,Housing for Older People,1010/104532/10000000,,BS27,3NB,Flat,1,1010/1100075345,Assured,18/02/2021,10/01/2021,Tenant Died,Sanctuary Housing Assoc.,Rightmove,,,,,
SEDGEMOOR,Housing for Older People,1010/104532/10000001,,BS27,3NB,Flat,1,1010/1100075352,Assured,18/02/2021,10/01/2021,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
SEDGEMOOR,Housing for Older People,1010/104532/10000024,,BS27,3NB,Flat,1,1010/1100075089,Assured,04/02/2021,17/01/2021,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
SEDGEMOOR,General Needs Residential,1010/104382/10000024,,TA6,4FA,House,1,1010/1100075331,Assured,17/02/2021,01/02/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
SOMERSET WEST & TAUN,General Needs Residential,1010/105108/10000000,,TA2,7UF,House,2,1010/1100075275,Assured,15/02/2021,03/01/2021,Purch-Open Mkt,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
TEIGNBRIDGE,General Needs Residential,1010/103725/10000072,,TQ12,2FD,Flat,1,1010/1100075244,Assured,12/02/2021,10/01/2021,Surr. by Op Law,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
TORBAY,General Needs Residential,1010/104020/10000040,,TQ5,9NR,House,2,1010/1100075119,Assured,04/02/2021,14/01/2021,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
TORBAY,General Needs Residential,1010/104020/10000109,,TQ5,9NT,Flat,1,1010/1100075439,Assured,26/02/2021,08/02/2021,ASB,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
TORBAY,General Needs Residential,1010/106062/10000044,,TQ5,9ET,Bungalow,1,1010/1100075271,Assured,17/02/2021,01/02/2021,Nrsng/Res. Care,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
COTSWOLD,General Needs Residential,1010/100313/10000008,,GL7,1AB,Flat,2,1010/1100075301,Assured,16/02/2021,26/11/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
GLOUCESTER,Affordable General Needs,1020/106337/10000011,18/11/2020,GL2,2JN,Flat,1,1020/1100003268,Assured,01/02/2021,,#,Sanc. Afford. Housing Ltd,Choice Based Letting,,,,,17/11/2020
STROUD,General Needs Residential,1010/100298/10000008,,GL5,1EU,House,1,1010/1100075216,Assured,10/02/2021,04/11/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,09/02/2021,,,,
PORTSMOUTH,General Needs Residential,1010/101798/10000023,,PO3,6HT,Flat,1,1010/1100075332,Assured,18/02/2021,07/02/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
WILTSHIRE,Affordable General Needs,1010/100247/10000018,,SP1,2LH,Flat,2,1010/1100075258,Assured,19/02/2021,18/02/2021,End Fixed Ten,Sanctuary Housing Assoc.,Other,,,,,
WILTSHIRE,General Needs Residential,1010/100539/10000004,,SP1,2AR,Flat,2,1010/1100075127,Assured,04/02/2021,24/01/2021,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
WILTSHIRE,General Needs Residential,1010/100539/10000005,,SP1,2AZ,Flat,1,1010/1100075129,Assured,04/02/2021,10/01/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
WILTSHIRE,General Needs Residential,1010/102417/10000019,,SP1,3ZA,House,2,1010/1100075206,Assured,10/02/2021,17/01/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,09/02/2021,,,,
SWINDON,General Needs Residential,1010/100905/10000009,,SN2,1AT,Flat,1,1010/1100075255,Assured,17/02/2021,16/02/2021,End Fixed Ten,Sanctuary Housing Assoc.,Other,,,,,
SWINDON,General Needs Residential,1010/103645/10000056,,SN3,6LQ,Flat,2,1010/1100075286,Assured,12/02/2021,10/12/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
SWINDON,General Needs Residential,1010/104647/10000014,,SN3,6PB,Flat,1,1010/1100075246,Assured,11/02/2021,25/10/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,27/01/2021,,,,
SWINDON,General Needs Residential,1010/104647/10000039,,SN3,6PB,Flat,1,1010/1100075109,Assured,04/02/2021,29/11/2020,Man. Trans  Grp,Sanctuary Housing Assoc.,Choice Based Letting,03/02/2021,,,,
READING,General Needs Residential,1010/104720/10000017,,RG1,7PQ,House,3,1010/1100075441,Assured,26/02/2021,15/11/2020,#,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
READING,General Needs Residential,1010/105859/10000033,,RG1,6JZ,Flat,2,1010/1100075380,Assured,19/02/2021,20/12/2020,Larger Prop,Sanctuary Housing Assoc.,Choice Based Letting,18/02/2021,,,,
READING,General Needs Residential,1010/105859/10000068,,RG1,6JZ,Maisonette,2,1010/1100075149,Assured,05/02/2021,12/07/2020,Larger Prop,Sanctuary Housing Assoc.,Choice Based Letting,04/02/2021,,,,
CHERWELL,General Needs Residential,1010/101073/10000023,,OX15,0QN,Bungalow,2,1010/1100075101,Assured,02/02/2021,05/01/2021,Med/Supp Need,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHERWELL,General Needs Residential,1010/104760/10000013,,OX26,4YL,Bungalow,2,1010/1100075324,Assured,18/02/2021,17/01/2021,Move Fam/Friend,Sanctuary Housing Assoc.,Choice Based Letting,14/02/2021,,,,
CHERWELL,General Needs Residential,1010/101951/10000097,,OX5,2BY,House,3,1010/1100075168,Assured,05/02/2021,20/12/2020,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHERWELL,General Needs Residential,1010/102977/10000004,,OX5,2XH,Flat,1,1010/1100075179,Assured,05/02/2021,28/12/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
SHROPSHIRE,General Needs Residential,1010/105431/10000001,,WV15,5HJ,House,2,1010/1100075064,Assured,01/02/2021,21/12/2020,Larger Prop,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
TELFORD AND WREKIN,Affordable General Needs,1020/101643/10000011,,TF7,4AR,House,2,1020/1100003288,Assured,17/02/2021,27/12/2020,Afford,Sanc. Afford. Housing Ltd,LA Nom Statutory Homeless,27/01/2021,,,,
TELFORD AND WREKIN,Affordable General Needs,1020/101643/10000014,,TF7,4AL,House,2,1020/1100003278,Assured,19/02/2021,18/02/2021,End Fixed Ten,Sanc. Afford. Housing Ltd,Other,,,,,
TELFORD AND WREKIN,Affordable General Needs,1020/101643/10000015,,TF7,4AR,House,2,1020/1100003276,Assured,19/02/2021,18/02/2021,End Fixed Ten,Sanc. Afford. Housing Ltd,Other,,,,,
TELFORD AND WREKIN,Affordable General Needs,1020/101643/10000041,,TF7,4AL,House,4,1020/1100003277,Assured,19/02/2021,18/02/2021,End Fixed Ten,Sanc. Afford. Housing Ltd,Other,,,,,
TELFORD AND WREKIN,General Needs Residential,1010/101554/10000019,,TF7,4JP,House,3,1010/1100075253,Assured,10/02/2021,10/01/2021,Refused,Sanctuary Housing Assoc.,LA Nom Statutory Homeless,08/02/2021,,,,
TELFORD AND WREKIN,General Needs Residential,1010/103336/10000006,,TF4,2BX,Flat,1,1010/1100075181,Assured,05/02/2021,07/06/2020,Tenant Died,Sanctuary Housing Assoc.,LA Nom Statutory Homeless,20/09/2020,,,,
CHERWELL,General Needs Residential,1010/103886/10001238,,OX16,0LH,House,3,1010/1100075080,Assured,04/02/2021,09/12/2020,Man. Trans  Grp,Sanctuary Housing Assoc.,Choice Based Letting,,,,03/02/2021,
BIRMINGHAM,Housing for Older People,1010/104306/10000002,,B42,2HZ,Flat,1,1010/1100075239,Assured,11/02/2021,15/11/2020,Nrsng/Res. Care,Sanctuary Housing Assoc.,Rightmove,,,,,
BIRMINGHAM,Housing for Older People,1010/104306/10000008,,B42,2HZ,Flat,1,1010/1100075366,Assured,22/02/2021,12/01/2021,Tenant Died,Sanctuary Housing Assoc.,Nomination (Non LA),,,,,
SANDWELL,Housing for Older People,1010/105774/10000014,,B67,7QR,Flat,1,1010/1100075451,Assured,26/02/2021,10/01/2021,Surr. by Op Law,Sanctuary Housing Assoc.,Rightmove,,,,,
WALSALL,Affordable General Needs,1020/106267/10000013,,WS10,7TH,House,2,1020/1100003286,Assured,22/02/2021,21/02/2021,End Fixed Ten,Sanc. Afford. Housing Ltd,Other,,,,,
AYLESBURY VALE,General Needs Residential,1010/105740/10000028,,HP20,1HG,House,2,1010/1100075470,Assured,26/02/2021,15/11/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,23/02/2021,,,,
WEST OXFORDSHIRE,General Needs Residential,1010/104400/10000023,,OX28,5AJ,House,2,1010/1100075318,Assured,15/02/2021,29/10/2020,Larger Prop,Sanctuary Housing Assoc.,Choice Based Letting,14/02/2021,,,,
CHERWELL,General Needs Residential,1010/103753/10000574,,OX16,1QD,House,3,1010/1100075461,Assured,26/02/2021,04/11/2020,Evtn: Arrears,Sanctuary Housing Assoc.,Choice Based Letting,22/02/2021,,,,
BIRMINGHAM,Housing for Older People,1010/100402/10000041,,B29,5XB,Bungalow,1,1010/1100075240,Assured,12/02/2021,15/11/2020,Nrsng/Res. Care,Sanctuary Housing Assoc.,Internal Transfer,11/02/2021,,,,
BIRMINGHAM,General Needs Residential,1010/100754/10000001,,B14,5LH,House,2,1010/1100075169,Assured,05/02/2021,17/01/2021,Refused,Sanctuary Housing Assoc.,Internal Transfer,04/02/2021,,,,
BIRMINGHAM,Aged Defined General Needs,1010/104788/10000007,,B33,9QX,Flat,1,1010/1100075406,Assured,24/02/2021,03/02/2021,Tenant Died,Sanctuary Housing Assoc.,Internal Transfer,,,,,
SANDWELL,Affordable General Needs,1020/106483/10000011,23/02/2021,B70,0FP,House,2,1020/1100003301,Assured,25/02/2021,,#,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,24/02/2021
SANDWELL,Affordable General Needs,1020/106483/10000012,23/02/2021,B70,0FP,House,2,1020/1100003302,Assured,25/02/2021,,#,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,24/02/2021
SANDWELL,Affordable General Needs,1020/106483/10000013,23/02/2021,B70,0FP,House,2,1020/1100003303,Assured,25/02/2021,,#,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,24/02/2021
SANDWELL,Affordable General Needs,1020/106483/10000014,23/02/2021,B70,0FP,House,2,1020/1100003312,Assured,25/02/2021,,#,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,24/02/2021
SANDWELL,Affordable General Needs,1020/106483/10000015,23/02/2021,B70,0FQ,House,2,1020/1100003304,Assured,25/02/2021,,#,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,24/02/2021
SANDWELL,Affordable General Needs,1020/106483/10000017,23/02/2021,B70,0FQ,House,2,1020/1100003305,Assured,25/02/2021,,#,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,24/02/2021
SANDWELL,Affordable General Needs,1020/106483/10000018,23/02/2021,B70,0FQ,House,2,1020/1100003306,Assured,25/02/2021,,#,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,24/02/2021
SANDWELL,Affordable General Needs,1020/106483/10000019,23/02/2021,B70,0FQ,House,2,1020/1100003307,Assured,25/02/2021,,#,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,24/02/2021
SANDWELL,Affordable General Needs,1020/106483/10000020,23/02/2021,B70,0FQ,House,2,1020/1100003308,Assured,25/02/2021,,#,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,24/02/2021
SANDWELL,Housing for Older People,1010/104699/10000010,,B70,6ER,Flat,1,1010/1100075390,Assured,24/02/2021,10/01/2021,Refused,Sanctuary Housing Assoc.,Rightmove,,,,,
SANDWELL,Housing for Older People,1010/104792/10000002,,B70,6QG,Flat,1,1010/1100075252,Assured,12/02/2021,29/11/2020,Refused,Sanctuary Housing Assoc.,Rightmove,12/01/2021,,,,
SANDWELL,Housing for Older People,1010/105690/10000031,,WS10,9AE,Flat,1,1010/1100075102,Assured,01/02/2021,10/01/2021,Tenant Died,Sanctuary Housing Assoc.,Direct Application,,,,,
SHROPSHIRE,Affordable General Needs,1010/104582/10000006,,TF11,8UH,House,2,1010/1100074913,Assured,01/02/2021,31/01/2021,End Fixed Ten,Sanctuary Housing Assoc.,Other,,,,,
SHROPSHIRE,Affordable General Needs,1020/104191/10000003,,TF9,1LR,Flat,2,1020/1100003292,Assured,22/02/2021,21/02/2021,End Fixed Ten,Sanc. Afford. Housing Ltd,Other,,,,,
SHROPSHIRE,Affordable General Needs,1020/104191/10000011,,TF9,1LR,Flat,1,1020/1100003291,Assured,22/02/2021,21/02/2021,End Fixed Ten,Sanc. Afford. Housing Ltd,Other,,,,,
SHROPSHIRE,Affordable General Needs,1020/104191/10000012,,TF9,1LR,Flat,1,1020/1100003290,Assured,22/02/2021,21/02/2021,End Fixed Ten,Sanc. Afford. Housing Ltd,Other,,,,,
TELFORD AND WREKIN,Aged Defined General Needs,1010/100560/10000002,,TF10,7JD,Flat,1,1010/1100075329,Assured,18/02/2021,20/12/2020,ASB,Sanctuary Housing Assoc.,Rightmove,,,,,
CHERWELL,Housing for Older People,1010/100202/10000022,,OX16,9FA,Flat,1,1010/1100075143,Assured,03/02/2021,17/01/2021,Tenant Died,Sanctuary Housing Assoc.,Internal Transfer,,,,,
CHERWELL,Housing for Older People,1010/103886/10001338,,OX16,0QS,Flat,1,1010/1100075421,Assured,24/02/2021,31/01/2021,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHERWELL,General Needs Residential,1010/101513/10000022,,OX16,5TR,Flat,1,1010/1100075330,Assured,18/02/2021,24/01/2021,Larger Prop,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHERWELL,General Needs Residential,1010/101513/10000042,,OX16,5TR,Flat,1,1010/1100075343,Assured,18/02/2021,24/01/2021,Man. Trans  Grp,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHERWELL,General Needs Residential,1010/103886/10000472,,OX16,0PX,Flat,1,1010/1100075287,Assured,12/02/2021,20/12/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,11/02/2021,,,,
