Local Authority,Housing Category,Rental Object.,Acquisition Date,Postcode - 1st part,Postcode - 2nd part,Property Type,No. of Bedrooms,RE Contract,Contract Type,Contract Start Date,Prev Cont End Date,Previous Reason for Termination,Company (AO),Tenancy Allocation Source,Max Major Works Date,Max Remodelling Date,Max ReInvestment Date,Max HeldForDecant Date,Max NewProperty Date
CHESHIRE WEST AND CH,General Needs Residential,1010/106411/10000374,,CH1,5PD,Flat,2,1010/1100075346,Assured,18/02/2021,03/01/2021,ASB,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,Affordable General Needs,1010/106414/10000322,,CH1,5QF,Flat,2,1010/1100075395,Assured,24/02/2021,19/11/2020,Larger Prop,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,General Needs Residential,1010/106414/10000196,,CH1,5RY,Flat,1,1010/1100075270,Assured,15/02/2021,13/12/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,General Needs Residential,1010/106414/10000279,,CH1,5RZ,Flat,2,1010/1100075110,Assured,03/02/2021,27/12/2020,Move Fam/Friend,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,General Needs Residential,1010/106414/10000426,,CH1,5RY,Flat,1,1010/1100075298,Assured,16/02/2021,28/12/2020,Rel Breakdown,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,Affordable Housing for Older People,1010/106408/10000193,,CH1,5FB,Flat,1,1010/1100075146,Assured,08/02/2021,14/12/2020,Larger Prop,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
KNOWSLEY,General Needs Residential,1010/106744/10000001,,L32,0TS,Bungalow,2,1010/1100075229,Assured,11/02/2021,09/08/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
LIVERPOOL,General Needs Residential,1010/106643/10000088,,L15,8GJ,Flat,2,1010/1100075368,Assured,25/02/2021,21/12/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
LIVERPOOL,General Needs Residential,1010/106745/10000050,,L24,9LJ,Flat,2,1010/1100075098,Assured,02/02/2021,08/11/2020,Closer Family,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
ST. HELENS,General Needs Residential,1010/106685/10000014,,WA9,4YL,Flat,2,1010/1100075398,Assured,23/02/2021,23/11/2020,Man. Trans  Grp,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,Affordable General Needs,1010/106409/10000027,,CH1,5DS,Flat,2,1010/1100075180,Assured,05/02/2021,22/11/2020,Med/Supp Need,Sanctuary Housing Assoc.,Choice Based Letting,20/01/2021,,,,
CHESHIRE WEST AND CH,General Needs Residential,1010/106409/10000476,,CH1,5DG,Flat,2,1010/1100075212,Assured,11/02/2021,13/12/2020,Prop Condition,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,Housing for Older People,1010/106471/10000041,,CH3,7NA,Flat,1,1010/1100075158,Assured,05/02/2021,29/11/2020,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,Housing for Older People,1010/106492/10000001,,CH4,7NB,Bungalow,2,1010/1100075251,Assured,11/02/2021,20/12/2020,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,08/02/2021,,,,
CHESHIRE WEST AND CH,Housing for Older People,1010/106493/10000404,,CH4,8EU,Flat,1,1010/1100075249,Assured,10/02/2021,20/12/2020,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,General Needs Residential,1010/106493/10000172,,CH4,8EA,Flat,1,1010/1100075447,Assured,25/02/2021,29/11/2020,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,22/02/2021,,,,
WIRRAL,General Needs Residential,1010/106693/10000053,,CH41,2SJ,Flat,1,1010/1100075166,Assured,08/02/2021,03/09/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
WIRRAL,General Needs Residential,1010/106728/10000001,,CH62,1AY,House,3,1010/1100075065,Assured,01/02/2021,08/12/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,Affordable General Needs,1010/106494/10000264,,CH4,8NQ,House,2,1010/1100075083,Assured,02/02/2021,03/01/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,General Needs Residential,1010/106494/10000045,,CH4,8EZ,Flat,2,1010/1100075175,Assured,05/02/2021,18/12/2020,Larger Prop,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,General Needs Residential,1010/106494/10000128,,CH4,8EW,Flat,1,1010/1100075314,Assured,15/02/2021,25/10/2020,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,08/02/2021,,,,
CHESHIRE WEST AND CH,General Needs Residential,1010/106494/10000207,,CH4,8EN,House,3,1010/1100075178,Assured,05/02/2021,26/11/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,Housing for Older People,1010/106431/10000100,,CH2,3LB,Flat,2,1010/1100075387,Assured,23/02/2021,13/12/2020,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,Housing for Older People,1010/106431/10000240,,CH2,3LU,Flat,2,1010/1100075415,Assured,24/02/2021,10/01/2021,#,Sanctuary Housing Assoc.,Choice Based Letting,09/02/2021,,,,
CHESHIRE WEST AND CH,Housing for Older People,1010/106541/10000130,,CH1,3HW,Flat,2,1010/1100075210,Assured,11/02/2021,02/07/2020,Nrsng/Res. Care,Sanctuary Housing Assoc.,Rightmove,23/11/2020,,,,
CHESHIRE WEST AND CH,Housing for Older People,1010/106541/10000315,,CH1,3HZ,Flat,2,1010/1100075088,Assured,03/02/2021,13/11/2019,Evtn: Abandoned,Sanctuary Housing Assoc.,Rightmove,30/12/2019,,,23/11/2020,
CHESHIRE WEST AND CH,General Needs Residential,1010/106541/10000310,,CH1,3HJ,Maisonette,3,1010/1100075282,Assured,12/02/2021,15/11/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,10/12/2020,,,,
LIVERPOOL,General Needs Residential,1010/106653/10000051,,L17,1AN,Studio apartment,#,1010/1100075192,Assured,11/02/2021,20/12/2020,Man. Trans  Grp,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
LIVERPOOL,General Needs Residential,1010/106743/10000002,,L17,8XN,Flat,2,1010/1100075188,Assured,09/02/2021,01/11/2020,Refused,Sanctuary Housing Assoc.,LA Nom Statutory Homeless,,,,,
LIVERPOOL,General Needs Residential,1010/106640/10000052,,L8,0TH,Flat,2,1010/1100075145,Assured,05/02/2021,30/11/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,Affordable General Needs,1010/106427/10000307,,CH2,1SF,Flat,2,1010/1100075120,Assured,04/02/2021,01/03/2020,Prop Condition,Sanctuary Housing Assoc.,Choice Based Letting,26/01/2021,,,,
CHESHIRE WEST AND CH,Housing for Older People,1010/106427/10000135,,CH2,1QF,Flat,1,1010/1100075164,Assured,08/02/2021,07/01/2021,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,Housing for Older People,1010/106427/10000137,,CH2,1QF,Flat,1,1010/1100075085,Assured,03/02/2021,25/11/2020,Tenant Died,Sanctuary Housing Assoc.,Rightmove,05/01/2021,,,,
CHESHIRE WEST AND CH,Housing for Older People,1010/106427/10000285,,CH2,1QD,Flat,2,1010/1100075357,Assured,19/02/2021,07/01/2021,Man. Trans  Grp,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,General Needs Residential,1010/106399/10000005,,CH1,4AD,Flat,1,1010/1100075087,Assured,02/02/2021,20/09/2020,Employ,Sanctuary Housing Assoc.,Choice Based Letting,25/01/2021,,,,
WEST LANCASHIRE,Affordable General Needs,1010/106537/10000017,,WN8,9AX,House,2,1010/1100075399,Assured,24/02/2021,17/01/2021,Larger Prop,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
EAST RIDING OF YORKS,General Needs Residential,1010/102272/10000011,,HU11,5ST,House,2,1010/1100075334,Assured,18/02/2021,20/12/2020,Refused,Sanctuary Housing Assoc.,27,11/01/2021,,,,
"KINGSTON UPON HULL,",Housing for Older People,1010/102465/10000043,,HU9,4EP,Flat,1,1010/1100075433,Assured,25/02/2021,07/06/2020,Tenant Died,Sanctuary Housing Assoc.,32,,,,,
"KINGSTON UPON HULL,",General Needs Residential,1010/102465/10000112,,HU9,4TW,Flat,1,1010/1100075256,Assured,12/02/2021,10/12/2020,Surr. by Op Law,Sanctuary Housing Assoc.,Rightmove,,,,,
"KINGSTON UPON HULL,",General Needs Residential,1010/103578/10000019,,HU9,3AR,Flat,2,1010/1100075297,Assured,12/02/2021,16/01/2021,Refused,Sanctuary Housing Assoc.,Direct Application,,,,,
"KINGSTON UPON HULL,",General Needs Residential,1010/103578/10000020,,HU9,3AR,Flat,1,1010/1100075432,Assured,26/02/2021,16/11/2020,Refused,Sanctuary Housing Assoc.,CHRTransfer List,08/02/2021,,,,
"KINGSTON UPON HULL,",General Needs Residential,1010/104111/10000036,,HU9,4QE,House,3,1010/1100075147,Assured,04/02/2021,21/12/2020,Med/Supp Need,Sanctuary Housing Assoc.,Choice Based Letting,25/01/2021,,,,
SHEFFIELD,General Needs Residential,1010/104293/10001103,,S5,0UB,House,2,1010/1100075257,Assured,11/02/2021,20/12/2020,Larger Prop,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
SHEFFIELD,General Needs Residential,1010/104293/10001703,,S5,0TY,House,3,1010/1100075185,Assured,05/02/2021,13/09/2020,Refused,Sanctuary Housing Assoc.,Internal Transfer,01/02/2021,,,,
DONCASTER,General Needs Residential,1010/102463/10000038,,S64,9NS,Flat,1,1010/1100075153,Assured,05/02/2021,30/07/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,15/12/2020,,,,
DONCASTER,General Needs Residential,1010/102463/10000100,,S64,9NS,Flat,1,1010/1100075247,Assured,11/02/2021,18/10/2020,Evtn: Abandoned,Sanctuary Housing Assoc.,Choice Based Letting,15/12/2020,,,,
ROTHERHAM,Housing for Older People,1010/101108/10000014,,S65,4JF,Bungalow,2,1010/1100075426,Assured,25/02/2021,01/02/2021,Tenant Died,Sanctuary Housing Assoc.,Internal Transfer,22/02/2021,,,,
ROTHERHAM,General Needs Residential,1010/101852/10000005,,S65,2SR,Flat,1,1010/1100075223,Assured,15/02/2021,11/10/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,15/11/2020,,,,
ROTHERHAM,General Needs Residential,1010/101986/10000007,,S62,5JL,Flat,1,1010/1100075408,Assured,24/02/2021,17/11/2020,Prison,Sanctuary Housing Assoc.,Choice Based Letting,16/02/2021,,,,
ROTHERHAM,General Needs Residential,1010/103101/10000043,,S63,6JD,House,4,1010/1100075267,Assured,11/02/2021,26/07/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,09/02/2021,,,,
ROTHERHAM,General Needs Residential,1010/106054/10000000,,S73,0XD,Flat,1,1010/1100075123,Assured,05/02/2021,15/11/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,26/01/2021,,,,
"KINGSTON UPON HULL,",Housing for Older People,1010/104494/10000010,,HU9,2AY,Flat,1,1010/1100075388,Assured,25/02/2021,01/11/2020,Med/Supp Need,Sanctuary Housing Assoc.,Rightmove,,,,,
"KINGSTON UPON HULL,",Housing for Older People,1010/104494/10000028,,HU9,2AY,Flat,1,1010/1100075167,Assured,08/02/2021,15/12/2020,Refused,Sanctuary Housing Assoc.,Internal Transfer,,,,,
"KINGSTON UPON HULL,",Housing for Older People,1010/104494/10000034,,HU9,2AY,Flat,1,1010/1100075386,Assured,25/02/2021,23/08/2020,Nrsng/Res. Care,Sanctuary Housing Assoc.,Direct Application,15/02/2021,,,,
"KINGSTON UPON HULL,",Housing for Older People,1010/104494/10000044,,HU9,2AY,Flat,1,1010/1100075171,Assured,11/02/2021,18/01/2021,Tenant Died,Sanctuary Housing Assoc.,32,,,,,
"KINGSTON UPON HULL,",General Needs Residential,1010/105215/10000003,,HU3,1QW,Flat,1,1010/1100075099,Assured,05/02/2021,19/04/2020,Larger Prop,Sanctuary Housing Assoc.,Direct Application,12/01/2021,,,,
NORTH EAST LINCOLNSH,General Needs Residential,1010/101549/10000011,,DN32,9PW,House,2,1010/1100075081,Assured,02/02/2021,29/11/2020,ASB,Sanctuary Housing Assoc.,27,,,,,
HARROGATE,Affordable General Needs,1010/102024/10000007,,HG1,5EF,Flat,1,1010/1100075139,Assured,03/02/2021,22/11/2020,Refused,Sanctuary Housing Assoc.,Local Authority Nomination,26/01/2021,,,,
HARROGATE,Affordable General Needs,1010/102024/10000013,,HG1,5EF,Flat,1,1010/1100075140,Assured,03/02/2021,21/12/2020,Man. Trans  Grp,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
LEEDS,Aged Defined General Needs,1010/102023/10000009,,LS16,6SX,Flat,1,1010/1100075431,Assured,24/02/2021,19/10/2020,Closer Family,Sanctuary Housing Assoc.,27,,,,,
STAFFORD,General Needs Residential,1010/102145/10000041,,ST17,9JD,Flat,2,1010/1100075391,Assured,25/02/2021,03/12/2020,Refused,Sanctuary Housing Assoc.,32,,,,,
STAFFORD,General Needs Residential,1010/103455/10000061,,ST17,9TW,Flat,2,1010/1100075348,Assured,22/02/2021,17/12/2020,Closer Family,Sanctuary Housing Assoc.,Rightmove,,,,,
STAFFORD,Aged Defined General Needs,1010/102144/10000003,,ST18,9DF,Bungalow,1,1010/1100075177,Assured,08/02/2021,27/12/2020,Tenant Died,Sanctuary Housing Assoc.,Direct Application,,,,,
STOKE-ON-TRENT,General Needs Residential,1010/103553/10000086,,ST3,4RA,Flat,1,1010/1100075233,Assured,12/02/2021,18/11/2020,Surr. by Op Law,Sanctuary Housing Assoc.,Local Authority Nomination,02/02/2021,,,,
BURY,General Needs Residential,1010/101482/10000003,,BL8,3AW,Flat,2,1010/1100075365,Assured,19/02/2021,14/01/2021,Refused,Sanctuary Housing Assoc.,27,,,,,
CRAVEN,General Needs Residential,1010/101411/10000049,,BD23,2SW,House,3,1010/1100075162,Assured,04/02/2021,01/11/2020,Refused,Sanctuary Housing Assoc.,27,01/02/2021,,,,
MANCHESTER,General Needs Residential,1010/105333/10000052,,M16,8HR,Flat,1,1010/1100075414,Assured,23/02/2021,06/12/2020,Refused,Sanctuary Housing Assoc.,27,22/02/2021,,,,
TAMESIDE,General Needs Residential,1010/104508/10000017,,OL7,0QA,Flat,1,1010/1100075454,Assured,26/02/2021,29/09/2020,Refused,Sanctuary Housing Assoc.,Rightmove,22/02/2021,,,,
NEWCASTLE-UNDER-LYME,General Needs Residential,1010/103350/10000000,,CW3,9JH,House,3,1010/1100075001,Assured,02/02/2021,29/11/2020,Closer Family,Sanctuary Housing Assoc.,Choice Based Letting,01/02/2021,,,,
NEWCASTLE-UNDER-LYME,Aged Defined General Needs,1010/104324/10000016,,ST5,6SP,Bungalow,2,1010/1100075359,Assured,19/02/2021,03/01/2021,Tenant Died,Sanctuary Housing Assoc.,Internal Transfer,,,,18/02/2021,
ASHFIELD,Housing for Older People,1010/105328/10000028,,NG17,1EH,Flat,1,1010/1100075020,Assured,01/02/2021,03/09/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
ASHFIELD,General Needs Residential,1010/101829/10000032,,NG17,4AZ,House,3,1010/1100075344,Assured,22/02/2021,05/10/2020,Surr. by Op Law,Sanctuary Housing Assoc.,Choice Based Letting,15/02/2021,,,,
ASHFIELD,General Needs Residential,1010/103465/10000002,,NG17,2AH,House,3,1010/1100075155,Assured,08/02/2021,08/09/2020,Prop Condition,Sanctuary Housing Assoc.,Choice Based Letting,01/02/2021,,,,
WEST LINDSEY,General Needs Residential,1010/102166/10000043,,LN8,3BX,Flat,1,1010/1100075444,Assured,26/02/2021,13/01/2021,Refused,Sanctuary Housing Assoc.,27,22/02/2021,,,,
CALDERDALE,General Needs Residential,1010/103577/10000001,,HX2,9RX,House,2,1010/1100075312,Assured,15/02/2021,16/11/2020,Refused,Sanctuary Housing Assoc.,27,,,,,
CALDERDALE,General Needs Residential,1010/104492/10000004,,HX3,5PX,Flat,1,1010/1100075094,Assured,01/02/2021,01/11/2020,Refused,Sanctuary Housing Assoc.,27,18/01/2021,,,,
CALDERDALE,General Needs Residential,1010/105467/10000047,,HX3,6HR,Flat,1,1010/1100075364,Assured,18/02/2021,16/11/2020,ASB,Sanctuary Housing Assoc.,27,27/01/2021,,,,
CALDERDALE,General Needs Residential,1010/105581/10000050,,HX1,5NA,Flat,1,1010/1100075351,Assured,17/02/2021,07/12/2020,Surr. by Op Law,Sanctuary Housing Assoc.,27,15/02/2021,,,,
DONCASTER,General Needs Residential,1010/105012/10000012,,DN4,0TX,House,3,1010/1100075412,Assured,25/02/2021,12/01/2021,Purch-Open Mkt,Sanctuary Housing Assoc.,Choice Based Letting,16/02/2021,,,,
SHEFFIELD,Affordable General Needs,1020/106130/10000005,,S36,1DP,Flat,1,1020/1100003280,Assured,17/02/2021,20/12/2020,Tenant Died,Sanc. Afford. Housing Ltd,Direct Application,,,,,
LEEDS,Affordable General Needs,1020/103839/10000105,,LS10,4DP,Bungalow,2,1020/1100003282,Assured,15/02/2021,26/01/2021,Tenant Died,Sanc. Afford. Housing Ltd,27,,,,,
LEEDS,Housing for Older People,1010/106026/10000000,,LS6,2PQ,Bungalow,2,1010/1100075174,Assured,05/02/2021,21/07/2020,NO-End by SHA,Sanctuary Housing Assoc.,27,,,,,
SHEFFIELD,General Needs Residential,1010/104293/10001888,,S5,0RJ,House,3,1010/1100075358,Assured,19/02/2021,27/12/2020,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
"KINGSTON UPON HULL,",Housing for Older People,1010/104378/10000027,,HU11,4DQ,Flat,1,1010/1100075100,Assured,03/02/2021,11/10/2020,Refused,Sanctuary Housing Assoc.,Direct Application,,,,,
"KINGSTON UPON HULL,",General Needs Residential,1010/100102/10000216,,HU6,9LF,Bungalow,2,1010/1100075317,Assured,22/02/2021,11/08/2020,Refused,Sanctuary Housing Assoc.,Direct Application,19/11/2020,,,,
"KINGSTON UPON HULL,",General Needs Residential,1010/101385/10000003,,HU7,4SL,Flat,1,1010/1100075245,Assured,12/02/2021,24/05/2020,Man. Trans  Grp,Sanctuary Housing Assoc.,Local Authority Nomination,08/02/2021,,,,
"KINGSTON UPON HULL,",General Needs Residential,1010/102038/10000016,,HU6,7LH,Studio apartment,#,1010/1100075082,Assured,03/02/2021,02/03/2020,Evtn: Other,Sanctuary Housing Assoc.,Other,12/10/2020,,,,
EAST RIDING OF YORKS,General Needs Residential,1010/106027/10000018,,HU17,9UX,Flat,1,1010/1100075392,Assured,24/02/2021,17/01/2021,Surr. by Op Law,Sanctuary Housing Assoc.,27,,,,,
"KINGSTON UPON HULL,",General Needs Residential,1010/101318/10000032,,HU3,2EG,Flat,1,1010/1100075232,Assured,12/02/2021,22/11/2020,Surr. by Op Law,Sanctuary Housing Assoc.,32,,,,,
"KINGSTON UPON HULL,",General Needs Residential,1010/101318/10000049,,HU3,2EG,Flat,2,1010/1100075105,Assured,05/02/2021,26/08/2020,Refused,Sanctuary Housing Assoc.,32,24/11/2020,,,,
"KINGSTON UPON HULL,",General Needs Residential,1010/101990/10000002,,HU3,6QP,Flat,1,1010/1100075214,Assured,12/02/2021,13/02/2020,Med/Supp Need,Sanctuary Housing Assoc.,Direct Application,15/12/2020,,,,
"KINGSTON UPON HULL,",General Needs Residential,1010/102402/10000038,,HU3,2PW,Flat,1,1010/1100075103,Assured,03/02/2021,21/12/2020,Closer Family,Sanctuary Housing Assoc.,32,,,,,
"KINGSTON UPON HULL,",General Needs Residential,1010/102402/10000042,,HU3,2PW,Flat,1,1010/1100075205,Assured,11/02/2021,16/11/2020,Tenant Died,Sanctuary Housing Assoc.,Direct Application,25/01/2021,,,,
"KINGSTON UPON HULL,",General Needs Residential,1010/102402/10000047,,HU3,2PY,Flat,2,1010/1100075308,Assured,16/02/2021,05/07/2020,Prop Condition,Sanctuary Housing Assoc.,Rightmove,31/01/2021,,,,
STOKE-ON-TRENT,General Needs Residential,1010/101827/10000038,,ST1,3PR,House,2,1010/1100075234,Assured,11/02/2021,11/10/2020,Med/Supp Need,Sanctuary Housing Assoc.,Local Authority Nomination,01/02/2021,,,,
NEWCASTLE-UNDER-LYME,General Needs Residential,1010/102012/10000027,,ST5,0HJ,Flat,2,1010/1100075224,Assured,12/02/2021,24/01/2021,ASB,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
NEWCASTLE-UNDER-LYME,General Needs Residential,1010/105797/10000006,,ST5,2AR,Flat,2,1010/1100075296,Assured,15/02/2021,27/01/2021,Tenant Died,Sanctuary Housing Assoc.,32,,,,,
NEWCASTLE-UNDER-LYME,Aged Defined General Needs,1010/103799/10000010,,ST5,2DB,Flat,1,1010/1100075443,Assured,26/02/2021,01/12/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
SHEFFIELD,General Needs Residential,1010/104293/10000292,,S5,0GP,House,2,1010/1100075409,Assured,23/02/2021,19/07/2020,Rel Breakdown,Sanctuary Housing Assoc.,Internal Transfer,22/02/2021,,,,
SHEFFIELD,General Needs Residential,1010/104293/10002317,,S5,0HH,House,3,1010/1100075291,Assured,12/02/2021,03/01/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
SHEFFIELD,Aged Defined General Needs,1010/104293/10000410,,S5,0BF,Flat,2,1010/1100075122,Assured,03/02/2021,19/10/2020,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
SHEFFIELD,Aged Defined General Needs,1010/104293/10001182,,S5,0BF,Flat,2,1010/1100075207,Assured,09/02/2021,24/05/2020,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,23/08/2020,,,,
SHEFFIELD,General Needs Residential,1010/104293/10001510,,S5,0NZ,House,2,1010/1100075438,Assured,25/02/2021,27/12/2020,Nrsng/Res. Care,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
SHEFFIELD,General Needs Residential,1010/104293/10002300,,S5,0AX,House,3,1010/1100075371,Assured,19/02/2021,10/01/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
HARROGATE,Affordable General Needs,1010/104014/10000026,,HG4,2TS,House,2,1010/1100075362,Assured,18/02/2021,15/12/2020,Refused,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
LEEDS,General Needs Residential,1010/100764/10000017,,LS14,6UG,Flat,2,1010/1100075273,Assured,12/02/2021,29/11/2020,Prop Condition,Sanctuary Housing Assoc.,27,08/02/2021,,,,
STAFFORDSHIRE MOORLA,Aged Defined General Needs,1010/103233/10000002,,ST10,1JA,Flat,1,1010/1100075104,Assured,02/02/2021,05/01/2021,Refused,Sanctuary Housing Assoc.,Rightmove,,,,,
STAFFORDSHIRE MOORLA,Aged Defined General Needs,1010/104503/10000010,,ST8,6JX,Flat,1,1010/1100075360,Assured,19/02/2021,31/01/2021,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
SCARBOROUGH,General Needs Residential,1010/102275/10000046,,YO12,6SA,House,3,1010/1100075278,Assured,12/02/2021,05/01/2021,ASB,Sanctuary Housing Assoc.,27,,,,,
STOKE-ON-TRENT,General Needs Residential,1010/103598/10000006,,ST4,3DD,House,3,1010/1100075328,Assured,17/02/2021,12/01/2021,Refused,Sanctuary Housing Assoc.,Local Authority Nomination,15/02/2021,,,,
STOKE-ON-TRENT,General Needs Residential,1010/103598/10000008,,ST4,3DB,House,3,1010/1100075209,Assured,09/02/2021,04/10/2020,Closer Family,Sanctuary Housing Assoc.,Local Authority Nomination,01/02/2021,,,,
STOKE-ON-TRENT,General Needs Residential,1010/104101/10000022,,ST4,3BJ,House,2,1010/1100075369,Assured,19/02/2021,20/12/2020,Refused,Sanctuary Housing Assoc.,Direct Application,18/02/2021,,,,
ROCHFORD,Affordable General Needs,1010/106823/10000003,,SS4,1QH,Bungalow,2,1010/1100075128,Assured,04/02/2021,06/12/2020,Larger Prop,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
ROCHFORD,Housing for Older People,1010/106807/10000063,,SS3,0HU,Flat,1,1010/1100075356,Assured,18/02/2021,27/12/2020,Refused,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
ROCHFORD,Housing for Older People,1010/106823/10000085,,SS4,1UX,Flat,1,1010/1100075115,Assured,02/02/2021,12/07/2020,Tenant Died,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
ROCHFORD,Housing for Older People,1010/106829/10000003,,SS4,3EG,Flat,1,1010/1100075090,Assured,01/02/2021,13/12/2020,Tenant Died,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
ROCHFORD,Housing for Older People,1010/106835/10000041,,SS4,1DH,Flat,1,1010/1100075350,Assured,17/02/2021,24/01/2021,Man. Trans  Grp,Sanctuary Housing Assoc.,Direct Application,,,,,
ROCHFORD,General Needs Residential,1010/106823/10000121,,SS4,1QD,Bungalow,2,1010/1100075242,Assured,10/02/2021,11/10/2020,Refused,Sanctuary Housing Assoc.,Internal Transfer,03/02/2021,,,,
ROCHFORD,General Needs Residential,1010/106823/10000200,,SS4,1QL,House,2,1010/1100075377,Assured,19/02/2021,06/12/2020,Larger Prop,Sanctuary Housing Assoc.,Local Authority Nomination,,,,18/02/2021,
ROCHFORD,General Needs Residential,1010/106873/10000041,,SS3,0QY,Flat,1,1010/1100075300,Assured,12/02/2021,06/12/2020,Tenant Died,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
ROCHFORD,General Needs Residential,1010/106876/10000021,,SS6,9SF,Flat,1,1010/1100075381,Assured,25/02/2021,24/02/2021,End Fixed Ten,Sanctuary Housing Assoc.,Other,,,,,